file	lang1	lang2	translation pairs
ae.zip:tsv/ae/ae-agr.tsv	ae	agr	853
ae.zip:tsv/ae/ae-agx.tsv	ae	agx	1892
ae.zip:tsv/ae/ae-akv.tsv	ae	akv	2149
ae.zip:tsv/ae/ae-alc.tsv	ae	alc	531
ae.zip:tsv/ae/ae-als.tsv	ae	als	1249
ae.zip:tsv/ae/ae-ang.tsv	ae	ang	2041
ae.zip:tsv/ae/ae-ani.tsv	ae	ani	1947
ae.zip:tsv/ae/ae-aqc.tsv	ae	aqc	1853
ae.zip:tsv/ae/ae-arn.tsv	ae	arn	959
ae.zip:tsv/ae/ae-aro.tsv	ae	aro	889
ae.zip:tsv/ae/ae-auc.tsv	ae	auc	827
ae.zip:tsv/ae/ae-av.tsv	ae	av	14080
ae.zip:tsv/ae/ae-ayo.tsv	ae	ayo	1010
ae.zip:tsv/ae/ae-ayr.tsv	ae	ayr	786
ae.zip:tsv/ae/ae-azj.tsv	ae	azj	2148
ae.zip:tsv/ae/ae-azz.tsv	ae	azz	1128
ae.zip:tsv/ae/ae-bbl.tsv	ae	bbl	1085
ae.zip:tsv/ae/ae-bdk.tsv	ae	bdk	1201
ae.zip:tsv/ae/ae-bfz.tsv	ae	bfz	901
ae.zip:tsv/ae/ae-bg.tsv	ae	bg	1363
ae.zip:tsv/ae/ae-bgk.tsv	ae	bgk	872
ae.zip:tsv/ae/ae-blc.tsv	ae	blc	648
ae.zip:tsv/ae/ae-blr.tsv	ae	blr	2497
ae.zip:tsv/ae/ae-bn.tsv	ae	bn	1800
ae.zip:tsv/ae/ae-bo.tsv	ae	bo	886
ae.zip:tsv/ae/ae-bph.tsv	ae	bph	1955
ae.zip:tsv/ae/ae-br.tsv	ae	br	1271
ae.zip:tsv/ae/ae-brg.tsv	ae	brg	316
ae.zip:tsv/ae/ae-ca.tsv	ae	ca	1023
ae.zip:tsv/ae/ae-cag.tsv	ae	cag	1111
ae.zip:tsv/ae/ae-cao.tsv	ae	cao	828
ae.zip:tsv/ae/ae-cap.tsv	ae	cap	844
ae.zip:tsv/ae/ae-cas.tsv	ae	cas	831
ae.zip:tsv/ae/ae-cav.tsv	ae	cav	743
ae.zip:tsv/ae/ae-cbi.tsv	ae	cbi	1095
ae.zip:tsv/ae/ae-cbn.tsv	ae	cbn	771
ae.zip:tsv/ae/ae-cbr.tsv	ae	cbr	620
ae.zip:tsv/ae/ae-cdy.tsv	ae	cdy	864
ae.zip:tsv/ae/ae-ce.tsv	ae	ce	2119
ae.zip:tsv/ae/ae-chb.tsv	ae	chb	639
ae.zip:tsv/ae/ae-cjh.tsv	ae	cjh	324
ae.zip:tsv/ae/ae-cji.tsv	ae	cji	2199
ae.zip:tsv/ae/ae-cof.tsv	ae	cof	870
ae.zip:tsv/ae/ae-cog.tsv	ae	cog	812
ae.zip:tsv/ae/ae-crt.tsv	ae	crt	825
ae.zip:tsv/ae/ae-cs.tsv	ae	cs	1280
ae.zip:tsv/ae/ae-ctz.tsv	ae	ctz	1046
ae.zip:tsv/ae/ae-cu.tsv	ae	cu	1264
ae.zip:tsv/ae/ae-cuj.tsv	ae	cuj	455
ae.zip:tsv/ae/ae-cy.tsv	ae	cy	1477
ae.zip:tsv/ae/ae-cyb.tsv	ae	cyb	1015
ae.zip:tsv/ae/ae-da.tsv	ae	da	1128
ae.zip:tsv/ae/ae-dar.tsv	ae	dar	17895
ae.zip:tsv/ae/ae-dcr.tsv	ae	dcr	763
ae.zip:tsv/ae/ae-ddo.tsv	ae	ddo	2065
ae.zip:tsv/ae/ae-de.tsv	ae	de	1326
ae.zip:tsv/ae/ae-ekk.tsv	ae	ekk	1134
ae.zip:tsv/ae/ae-el.tsv	ae	el	1197
ae.zip:tsv/ae/ae-elx.tsv	ae	elx	790
ae.zip:tsv/ae/ae-emp.tsv	ae	emp	591
ae.zip:tsv/ae/ae-en.tsv	ae	en	1055
ae.zip:tsv/ae/ae-enm.tsv	ae	enm	1606
ae.zip:tsv/ae/ae-es.tsv	ae	es	1190
ae.zip:tsv/ae/ae-ese.tsv	ae	ese	1308
ae.zip:tsv/ae/ae-eu.tsv	ae	eu	1084
ae.zip:tsv/ae/ae-fi.tsv	ae	fi	1149
ae.zip:tsv/ae/ae-fr.tsv	ae	fr	1118
ae.zip:tsv/ae/ae-ga.tsv	ae	ga	1735
ae.zip:tsv/ae/ae-gdo.tsv	ae	gdo	1029
ae.zip:tsv/ae/ae-ghl.tsv	ae	ghl	790
ae.zip:tsv/ae/ae-gin.tsv	ae	gin	1181
ae.zip:tsv/ae/ae-giq.tsv	ae	giq	724
ae.zip:tsv/ae/ae-gmh.tsv	ae	gmh	1516
ae.zip:tsv/ae/ae-goh.tsv	ae	goh	4475
ae.zip:tsv/ae/ae-got.tsv	ae	got	974
ae.zip:tsv/ae/ae-gqu.tsv	ae	gqu	788
ae.zip:tsv/ae/ae-grc.tsv	ae	grc	1601
ae.zip:tsv/ae/ae-guc.tsv	ae	guc	723
ae.zip:tsv/ae/ae-gug.tsv	ae	gug	1295
ae.zip:tsv/ae/ae-gui.tsv	ae	gui	1063
ae.zip:tsv/ae/ae-guq.tsv	ae	guq	730
ae.zip:tsv/ae/ae-ha.tsv	ae	ha	1144
ae.zip:tsv/ae/ae-haw.tsv	ae	haw	2038
ae.zip:tsv/ae/ae-hdn.tsv	ae	hdn	842
ae.zip:tsv/ae/ae-hi.tsv	ae	hi	2237
ae.zip:tsv/ae/ae-hit.tsv	ae	hit	1090
ae.zip:tsv/ae/ae-hu.tsv	ae	hu	1070
ae.zip:tsv/ae/ae-huj.tsv	ae	huj	867
ae.zip:tsv/ae/ae-huo.tsv	ae	huo	729
ae.zip:tsv/ae/ae-huz.tsv	ae	huz	1045
ae.zip:tsv/ae/ae-hy.tsv	ae	hy	2490
ae.zip:tsv/ae/ae-ign.tsv	ae	ign	889
ae.zip:tsv/ae/ae-inh.tsv	ae	inh	1020
ae.zip:tsv/ae/ae-it.tsv	ae	it	1041
ae.zip:tsv/ae/ae-ito.tsv	ae	ito	775
ae.zip:tsv/ae/ae-jam.tsv	ae	jam	1143
ae.zip:tsv/ae/ae-jdt.tsv	ae	jdt	1614
ae.zip:tsv/ae/ae-kap.tsv	ae	kap	4156
ae.zip:tsv/ae/ae-kca.tsv	ae	kca	981
ae.zip:tsv/ae/ae-kgp.tsv	ae	kgp	1349
ae.zip:tsv/ae/ae-kha.tsv	ae	kha	916
ae.zip:tsv/ae/ae-khb.tsv	ae	khb	940
ae.zip:tsv/ae/ae-khv.tsv	ae	khv	3198
ae.zip:tsv/ae/ae-kjj.tsv	ae	kjj	1099
ae.zip:tsv/ae/ae-kkh.tsv	ae	kkh	1017
ae.zip:tsv/ae/ae-kmc.tsv	ae	kmc	935
ae.zip:tsv/ae/ae-knt.tsv	ae	knt	792
ae.zip:tsv/ae/ae-kpj.tsv	ae	kpj	512
ae.zip:tsv/ae/ae-kpt.tsv	ae	kpt	2022
ae.zip:tsv/ae/ae-kpv.tsv	ae	kpv	1191
ae.zip:tsv/ae/ae-kry.tsv	ae	kry	1049
ae.zip:tsv/ae/ae-kum.tsv	ae	kum	6360
ae.zip:tsv/ae/ae-kuz.tsv	ae	kuz	862
ae.zip:tsv/ae/ae-kva.tsv	ae	kva	1062
ae.zip:tsv/ae/ae-kxm.tsv	ae	kxm	709
ae.zip:tsv/ae/ae-kyh.tsv	ae	kyh	672
ae.zip:tsv/ae/ae-la.tsv	ae	la	1417
ae.zip:tsv/ae/ae-lbc.tsv	ae	lbc	941
ae.zip:tsv/ae/ae-lbe.tsv	ae	lbe	3898
ae.zip:tsv/ae/ae-leg.tsv	ae	leg	791
ae.zip:tsv/ae/ae-lez.tsv	ae	lez	3083
ae.zip:tsv/ae/ae-lic.tsv	ae	lic	911
ae.zip:tsv/ae/ae-lt.tsv	ae	lt	1325
ae.zip:tsv/ae/ae-lv.tsv	ae	lv	1096
ae.zip:tsv/ae/ae-mbc.tsv	ae	mbc	707
ae.zip:tsv/ae/ae-mca.tsv	ae	mca	763
ae.zip:tsv/ae/ae-mch.tsv	ae	mch	384
ae.zip:tsv/ae/ae-mhr.tsv	ae	mhr	985
ae.zip:tsv/ae/ae-mi.tsv	ae	mi	1754
ae.zip:tsv/ae/ae-mlm.tsv	ae	mlm	813
ae.zip:tsv/ae/ae-mmd.tsv	ae	mmd	836
ae.zip:tsv/ae/ae-mml.tsv	ae	mml	1575
ae.zip:tsv/ae/ae-mns.tsv	ae	mns	1014
ae.zip:tsv/ae/ae-moc.tsv	ae	moc	875
ae.zip:tsv/ae/ae-mot.tsv	ae	mot	414
ae.zip:tsv/ae/ae-mqm.tsv	ae	mqm	925
ae.zip:tsv/ae/ae-mr.tsv	ae	mr	2197
ae.zip:tsv/ae/ae-mra.tsv	ae	mra	679
ae.zip:tsv/ae/ae-myu.tsv	ae	myu	507
ae.zip:tsv/ae/ae-myv.tsv	ae	myv	871
ae.zip:tsv/ae/ae-mzh.tsv	ae	mzh	819
ae.zip:tsv/ae/ae-mzp.tsv	ae	mzp	757
ae.zip:tsv/ae/ae-ne.tsv	ae	ne	789
ae.zip:tsv/ae/ae-nl.tsv	ae	nl	1268
