"aal"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/aal>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#45588>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/eel>		"eel"@en	
"abakus"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abakus>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#79767>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/abacus>		"abacus"@en	
"abb"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abb>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#14714>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/fig>		"fig"@en	
"abbau"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbau>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11366>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/degradation>		"degradation"@en	
"abbau"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbau>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11367>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/dismantling>		"dismantling"@en	
"abbey"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbey>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#18938>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/abbey>		"abbey"@en	
"abbildung"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildung>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#8284>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/figure>		"figure"@en	
"abbildung"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildung>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#8285>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/image>		"image"@en	
"abbildung"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildung>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#8286>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/chart>		"chart"@en	
"abbildung"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildung>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#8288>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/diagram>		"diagram"@en	
"abbildungen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildungen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11289>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/graphs>		"graphs"@en	
"abbildungen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildungen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11290>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/pictures>		"pictures"@en	
"abbildungen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildungen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11291>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/images>		"images"@en	
"abbildungen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildungen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11292>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/figures>		"figures"@en	
"abbildungen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbildungen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#11293>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/illustrations>		"illustrations"@en	
"abbrechen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbrechen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#25539>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/cancel>		"cancel"@en	
"abbrechen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbrechen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#25540>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/terminate>		"terminate"@en	
"abbrechen"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbrechen>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#25541>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/abort>		"abort"@en	
"abbruch"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbruch>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#13415>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/abortion>		"abortion"@en	
"abbruch"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbruch>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#13416>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/abort>		"abort"@en	
"abbruch"@de	<https://dl.fbaipublicfiles.com/arrival/dictionaries/de/abbruch>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/de-en.txt#13417>		<https://dl.fbaipublicfiles.com/arrival/dictionaries/en/demolition>		"demolition"@en	
