"чин"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%87%D0%B8%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14429985-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/grad%C3%AB-n>		"gradë"@als	
"изплаша"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BF%D0%BB%D0%B0%D1%88%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01779165-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/panik-v>		"panik"@als	
"изплаша"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BF%D0%BB%D0%B0%D1%88%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01779165-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/lemeri-v>		"lemeri"@als	
"изплаша"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BF%D0%BB%D0%B0%D1%88%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01779165-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/trembje-v>		"trembje"@als	
"изплаша"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BF%D0%BB%D0%B0%D1%88%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/01779165-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/frik%C3%ABsoj-v>		"frikësoj"@als	
"тераса"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%82%D0%B5%D1%80%D0%B0%D1%81%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/03899768-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ballkon-n>		"ballkon"@als	
"тераса"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%82%D0%B5%D1%80%D0%B0%D1%81%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/03899768-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/verand%C3%AB-n>		"verandë"@als	
"изминавам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BC%D0%B8%D0%BD%D0%B0%D0%B2%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02072849-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kalim-v>		"kalim"@als	
"изминавам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BC%D0%B8%D0%BD%D0%B0%D0%B2%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02072849-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kaloj-v>		"kaloj"@als	
"изминавам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BC%D0%B8%D0%BD%D0%B0%D0%B2%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02072849-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/largohem%20pa%20r%C3%ABn%C3%AB%20n%C3%AB%20sy-v>		"largohem pa rënë në sy"@als	
"изминавам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B8%D0%B7%D0%BC%D0%B8%D0%BD%D0%B0%D0%B2%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/02072849-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shkoj-v>		"shkoj"@als	
