"סִינוֹפְּסִיס"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%A1%D6%B4%D7%99%D7%A0%D7%95%D6%B9%D7%A4%D6%BC%D6%B0%D7%A1%D6%B4%D7%99%D7%A1-n>		<http://wordnet-rdf.princeton.edu/wn30/06468951-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A4%A7%E6%A6%82-n>		"大概"@qcn	
"בְּדִיּוּק"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B0%D7%93%D6%B4%D7%99%D6%BC%D7%95%D6%BC%D7%A7-r>		<http://wordnet-rdf.princeton.edu/wn30/00158309-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%95%B4-r>		"整"@qcn	
"בְּדִיּוּק"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B0%D7%93%D6%B4%D7%99%D6%BC%D7%95%D6%BC%D7%A7-r>		<http://wordnet-rdf.princeton.edu/wn30/00158309-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%AD%A3-r>		"正"@qcn	
"בְּדִיּוּק"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B0%D7%93%D6%B4%D7%99%D6%BC%D7%95%D6%BC%D7%A7-r>		<http://wordnet-rdf.princeton.edu/wn30/00368663-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%8D%E5%A4%9A%E4%B8%8D%E5%B0%91-r>		"不多不少"@qcn	
"חָמוֹת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%97%D6%B8%D7%9E%D7%95%D6%B9%D7%AA-n>		<http://wordnet-rdf.princeton.edu/wn30/10333317-n>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%A9%86-n>		"婆"@qcn	
"בָּהּ-בָּעֵת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B8%D7%94%D6%BC-%D7%91%D6%BC%D6%B8%D7%A2%D6%B5%D7%AA-r>		<http://wordnet-rdf.princeton.edu/wn30/00120095-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%80%E9%9D%A2-r>		"一面"@qcn	
"בָּהּ-בָּעֵת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B8%D7%94%D6%BC-%D7%91%D6%BC%D6%B8%D7%A2%D6%B5%D7%AA-r>		<http://wordnet-rdf.princeton.edu/wn30/00120095-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%80%E9%BD%8A-r>		"一齊"@qcn	
"בָּהּ-בָּעֵת"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%91%D6%BC%D6%B8%D7%94%D6%BC-%D7%91%D6%BC%D6%B8%D7%A2%D6%B5%D7%AA-r>		<http://wordnet-rdf.princeton.edu/wn30/00120095-r>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%B8%80%E8%88%89-r>		"一舉"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02088241-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89-v>		"轉"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02088241-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E8%BD%89%E6%A9%9F-v>		"轉機"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02405390-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E5%8F%96-v>		"取"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02405390-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E4%BA%A4%E6%9B%BF-v>		"交替"@qcn	
"הֶחְלִיף"@he	<http://compling.hss.ntu.edu.sg/omw/wns/heb/%D7%94%D6%B6%D7%97%D6%B0%D7%9C%D6%B4%D7%99%D7%A3-v>		<http://wordnet-rdf.princeton.edu/wn30/02257370-v>		<http://compling.hss.ntu.edu.sg/omw/wns/qcn/%E6%98%93-v>		"易"@qcn	
