"upplag"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/upplag-n>		<http://wordnet-rdf.princeton.edu/wn30/04726724-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/natyr%C3%AB-n>		"natyrë"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ngut-v>		"ngut"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/nxitoj-v>		"nxitoj"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shkoj%20shpejt-v>		"shkoj shpejt"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vrapim%20shpejt%C3%ABsie-v>		"vrapim shpejtësie"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shpejtoj-v>		"shpejtoj"@als	
"rjúka"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/rj%C3%BAka-v>		<http://wordnet-rdf.princeton.edu/wn30/02058994-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vrull-v>		"vrull"@als	
"smellur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/smellur-n>		<http://wordnet-rdf.princeton.edu/wn30/07376257-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shperrthim-n>		"shperrthim"@als	
"smellur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/smellur-n>		<http://wordnet-rdf.princeton.edu/wn30/07376257-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/plasje-n>		"plasje"@als	
"smellur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/smellur-n>		<http://wordnet-rdf.princeton.edu/wn30/07376257-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/gj%C3%ABmim-n>		"gjëmim"@als	
"smellur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/smellur-n>		<http://wordnet-rdf.princeton.edu/wn30/07376257-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/zhurrme-n>		"zhurrme"@als	
"tíund"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%ADund-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shtim%20i%20burimit%20t%C3%AB%20t%C3%AB%20ardhurave-n>		"shtim i burimit të të ardhurave"@als	
"tíund"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%ADund-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/taks-n>		"taks"@als	
"tíund"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%ADund-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shum%C3%AB%20takse-n>		"shumë takse"@als	
"málavextir"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/m%C3%A1lavextir-n>		<http://wordnet-rdf.princeton.edu/wn30/14512817-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kontekst-n>		"kontekst"@als	
"málavextir"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/m%C3%A1lavextir-n>		<http://wordnet-rdf.princeton.edu/wn30/14512817-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/faktor-n>		"faktor"@als	
"forráðamaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/forr%C3%A1%C3%B0ama%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/09770949-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/administrator-n>		"administrator"@als	
"forráðamaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/forr%C3%A1%C3%B0ama%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/09770949-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/vendimares-n>		"vendimares"@als	
"forráðamaður"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/forr%C3%A1%C3%B0ama%C3%B0ur-n>		<http://wordnet-rdf.princeton.edu/wn30/09777353-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/agjent-n>		"agjent"@als	
"varðveita"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/var%C3%B0veita-v>		<http://wordnet-rdf.princeton.edu/wn30/00212414-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/konservoj-v>		"konservoj"@als	
"varðveita"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/var%C3%B0veita-v>		<http://wordnet-rdf.princeton.edu/wn30/00212414-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/ruaj-v>		"ruaj"@als	
"stigabil"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/stigabil-n>		<http://wordnet-rdf.princeton.edu/wn30/03363059-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/varg%20shkallaresh-n>		"varg shkallaresh"@als	
"stigabil"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/stigabil-n>		<http://wordnet-rdf.princeton.edu/wn30/03363059-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shkall%C3%AB-n>		"shkallë"@als	
"tákn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%A1kn-n>		<http://wordnet-rdf.princeton.edu/wn30/06876144-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shenj%C3%AB-n>		"shenjë"@als	
"tákn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%A1kn-n>		<http://wordnet-rdf.princeton.edu/wn30/06791372-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/sinjalizim-n>		"sinjalizim"@als	
"tákn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%A1kn-n>		<http://wordnet-rdf.princeton.edu/wn30/06791372-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/sinjal-n>		"sinjal"@als	
"tákn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%A1kn-n>		<http://wordnet-rdf.princeton.edu/wn30/06791372-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shenj%C3%AB-n>		"shenjë"@als	
"tákn"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/t%C3%A1kn-n>		<http://wordnet-rdf.princeton.edu/wn30/06806469-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/simbol-n>		"simbol"@als	
"innflutningur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/innflutningur-n>		<http://wordnet-rdf.princeton.edu/wn30/03564667-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/importim-n>		"importim"@als	
"innflutningur"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/innflutningur-n>		<http://wordnet-rdf.princeton.edu/wn30/03564667-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/import-n>		"import"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/02267060-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/harxhoj-v>		"harxhoj"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/02267060-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shpenzoj-v>		"shpenzoj"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/00999815-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/heq-v>		"heq"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/00999815-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/fshij-v>		"fshij"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01158181-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shp%C3%ABrdoroj-v>		"shpërdoroj"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01158181-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/harxhoj-v>		"harxhoj"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01158181-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shpenzoj-v>		"shpenzoj"@als	
"eyða"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/ey%C3%B0a-v>		<http://wordnet-rdf.princeton.edu/wn30/01158181-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mallra-v>		"mallra"@als	
"afráð"@is	<http://compling.hss.ntu.edu.sg/omw/wns/isl/afr%C3%A1%C3%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/13308999-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shtim%20i%20burimit%20t%C3%AB%20t%C3%AB%20ardhurave-n>		"shtim i burimit të të ardhurave"@als	
