# frequency	word class	interpretation	lexinfo 2.0 instance	lexinfo 2.0 class	OLiA concept(s)
206578	wd:Q1084	noun	lexinfo:noun	_	olia:Noun
28523	wd:Q24905	verb	lexinfo:verb	_	olia:Verb
25819	wd:Q380057	adverb	lexinfo:adverb	_	olia:Adverb
25002	wd:Q34698	adjective	lexinfo:adjective	_	olia:Adjective
3752	wd:Q7233569	postpositive adjective	lexinfo:adjective	_	olia:Adjective and olia:PostNominalModifier
2201	wd:Q147276	proper noun	lexinfo:properNoun	_	olia:ProperNoun
1101	wd:Q111029	root	_	_	olia:Root
865	wd:Q63116	numeral	lexinfo:numeral	_	olia:Numeral
597	wd:Q2120608	function word	_	_	olia:Unique
567	wd:Q4833830	preposition	lexinfo:preposition	_	olia:Preposition
448	wd:Q36224	pronoun	lexinfo:pronoun	_	olia:Pronoun
377	wd:Q36484	conjunction	lexinfo:conjunction	_	olia:Conjunction
312	wd:Q12259986	prenominal adjective	lexinfo:adjective	_	olia:Adjective and olia:PreNominalModifier
289	wd:Q83034	interjection	lexinfo:interjection	_	olia:Interjection
265	wd:Q102047	suffix	lexinfo:suffix	_	olia:Suffix
202	wd:Q134830	prefix	lexinfo:prefix	_	olia:Prefix
196	wd:Q9788	letter	lexinfo:letter	_	olia:Letter
191	wd:Q29888377	nominal phrase	_	lexinfo:NounPhrase	olia:NounPhrase
160	wd:Q184943	grammatical particle	lexinfo:particle	_	olia:MorphologicalParticle
154	wd:Q101352	family name	lexinfo:properNoun	_	olia:FamilyName
120	wd:Q3257782	locution	_	_	olia:Collocation
74	wd:Q576271	determiner	lexinfo:determiner	_	olia:Determiner
73	wd:Q62155	affix	lexinfo:affix	_	olia:Affix
60	wd:Q187931	phrase	lexinfo:phraseologicalUnit	_	olia:Phrase and olia:Collocation
54	wd:Q1480213	Japanese particle	lexinfo:particle	_	olia:Particle
51	wd:Q468801	personal pronoun	lexinfo:personalPronoun	_	olia:PersonalPronoun
48	wd:Q5978303	adverbial locution	_	_	olia:AdverbialPhrase and olia:Collocation
44	wd:Q28771286	Malayalam numeral	lexinfo:numeral	_	olia:Numeral
37	wd:Q28129886	proper name	lexinfo:properNoun	_	olia:ProperNoun
37	wd:Q2304610	interrogative word	lexinfo:interrogativeParticle	_	olia:InterrogativeModality and olia_top:Word
35	wd:Q11639843	adnominal adjective	lexinfo:adjective	_	olia:Adjective and olia:AdnominalConstituent
32	wd:Q56753314	common name	lexinfo:properNoun	_	olia:ProperNoun
32	wd:Q35102	proverb	lexinfo:proverb	_	olia:Proverb
30	wd:Q1774805	transitive verb	lexinfo:verb	_	olia:Verb and olia:Transitive
29	wd:Q10976085	verb phrase	_	lexinfo:VerbPhrase	olia:VerbPhrase
28	wd:Q4889706	linker (connector)	lexinfo:conjunction	_	olia:Conjunction
28	wd:Q102786	abbreviation	lexinfo:abbreviatedForm	_	olia:Abbreviation
24	wd:Q12262560	adversative linker	lexinfo:conjunction	_	olia:Conjunction and olia-discourse:Contrast
22	wd:Q11399805	Japanese auxiliary verb	_	_	olia:AuxiliaryVerb
18	wd:Q3241972	character	lexinfo:letter	_	olia:Character
